,Area Code,Parcel Count,Acres,Total Land Value,Total Building Value,Total Market Value,Total Taxable Land Value,Total Taxable Building Value,Total Taxable Value,Average Market VPA,Average Taxable VPA,GIS Avg Market VPA,GIS VPA Median,GIS Grade Median VPA,GIS Grade Average VPA,VPA Check,By Color,HOLC Grade
0,A1,253,82.91458125562309,10833400,54092300,38798820.0,6500040.0,32455380.0,23279292.0,1284915.3465784173,280762.3417674952,,,,,,,A
1,A2,232,75.2826466694668,14110100,39839300,30722580.0,8466060.0,23903580.0,18433548.0,1160449.137390697,244857.8632062931,,,,,,,A
2,A3,198,73.58120356514101,15433000,45746000,36707400.0,9259800.0,27447600.0,22024440.0,1042714.0790700455,299321.5513320857,,,,,,,A
3,B1,236,24.196403421073303,5304100,19535800,14785500.0,3182460.0,11721480.0,8871300.0,1082920.375079034,366637.13385906536,,,,,,,B
4,B2,89,13.6388799939823,1487300,6123200,4533780.0,892380.0,3673920.0,2720268.0,653064.1260230113,199449.51500418124,,,,,,,B
5,B3,878,129.5132161749923,34458900,105143500,83535060.0,20675340.0,63086100.0,50121036.0,1292815.2550380935,386995.5320411375,,,,,,,B
6,B4,359,72.625421172583,11910700,37958400,29757720.0,7146420.0,22775040.0,17854632.0,798088.7968668123,245845.4864939268,,,,,,,B
7,C1,455,52.600935859417305,9088400,29627700,23157300.0,5453040.0,17776620.0,13894380.0,866870.225895889,264147.01132189925,,,,,,,C
8,C2,332,33.743328245308895,7108100,20398500,16503960.0,4264860.0,12239100.0,9902376.0,892446.4238046115,293461.7453266976,,,,,,,C
9,C3,335,27.799153618709,3284900,13542400,10056180.0,1970940.0,8125440.0,6033708.0,649738.0407747014,217046.46417505597,,,,,,,C
10,C4,45,2.3179524017432,109800,1471900,891780.0,65880.0,883140.0,535068.0,722517.7482168888,230836.49155073497,,,,,,,C
11,C5,35,1.5812015193037998,131500,887200,611220.0,78900.0,532320.0,366732.0,709579.3864424229,231932.48648121173,,,,,,,C
12,C6,121,31.134349276294998,1387000,8829900,6058320.0,832200.0,5297940.0,3634992.0,411164.6899571165,116751.82184609209,,,,,,,C
13,C7,181,40.6550286935405,3735500,12367000,9386760.0,2241300.0,7420200.0,5632056.0,454012.2230404083,138532.8256057744,,,,,,,C
14,C8,612,88.6407280857037,14467000,44482700,35021700.0,8680200.0,26689620.0,21013020.0,797185.1113627551,237058.2964941717,,,,,,,C
15,C9,770,99.6110801640709,14605400,59835200,44470080.0,8763240.0,35901120.0,26682048.0,835469.3888150679,267862.24942096404,,,,,,,C
16,D1,68,7.9623227761978,493700,2279100,1663680.0,296220.0,1367460.0,998208.0,429610.47031944414,125366.43239131136,,,,,,,D
17,D2,73,10.7484450510779,1075300,3520400,2757420.0,645180.0,2112240.0,1654452.0,516971.8580721767,153924.77629441707,,,,,,,D
18,D3,49,5.9196996537353,400000,1876500,1223880.0,240000.0,1125900.0,734328.0,448030.9488046408,124048.1853731621,,,,,,,D
19,D4,442,34.4914839003732,1549800,9094000,6276300.0,929880.0,5456400.0,3765780.0,399974.9553445312,109179.9938465174,,,,,,,D
20,D5,405,35.3205593567306,3906100,12128300,9578340.0,2343660.0,7276980.0,5747004.0,493710.2812147977,162709.88072290723,,,,,,,D
21,D6,657,44.8224855019925,4123200,16186300,12076260.0,2473920.0,9711780.0,7245756.0,513466.82170787913,161654.48923348758,,,,,,,D
22,D7,95,19.3221373564889,1227300,5317900,3927120.0,736380.0,3190740.0,2356272.0,542115.1247081958,121946.75757279512,,,,,,,D
23,D8,44,6.1918128680423,431100,2271600,1553400.0,258660.0,1362960.0,932040.0,505147.19305434544,150527.80500045835,,,,,,,D
