,Area Code,Parcel Count,Acres,Total Land Value,Total Building Value,Total Value,Total Taxable Land Value,Total Taxable Building Value,Total Taxable Value (Market Value),Average Market VPA,Average Taxable VPA,GIS Avg Market VPA,GIS VPA Median,GIS Grade Median VPA,GIS Grade Average VPA,VPA Check,By Color,HOLC Grade
0,A1,283,90.92962566754008,10963300,53877100,64840400.0,6577980.0,32326260.0,38904240.0,1159934.450822385,427849.99624042196,,,,,,,A
1,A2,283,77.25469836906139,13457900,38281700,51739600.0,8074740.0,22969020.0,31043760.0,966275.1811903726,401836.53105080617,,,,,,,A
2,A3,235,82.35999020004095,16266600,45746000,62012600.0,9759960.0,27447600.0,37207560.0,900698.7007080126,451767.4165529648,,,,,,,A
3,B1,246,25.867486530802932,5364500,19379600,24744100.0,3218700.0,11627760.0,14846460.0,1043802.57241679,573942.8909075056,,,,,,,B
4,B2,102,15.863312803459099,1494000,6087900,7581900.0,896400.0,3652740.0,4549140.0,573649.2238372728,286771.12128861446,,,,,,,B
5,B3,937,144.1555288169684,35388600,104917900,140306500.0,21233160.0,62950740.0,84183900.0,1222846.7958658885,583979.6828527246,,,,,,,B
6,B4,396,79.81077379992482,12046200,37764700,49810900.0,7227720.0,22658820.0,29886540.0,730183.0351916648,374467.4882481612,,,,,,,B
7,C1,519,64.04425267833754,9459300,29552600,39011900.0,5675580.0,17731560.0,23407140.0,771876.6726446686,365483.84938711725,,,,,,,C
8,C2,365,36.54722607607358,7356300,20398600,27754900.0,4413780.0,12239160.0,16652940.0,821266.5301837944,455655.3749205662,,,,,,,C
9,C3,432,35.58456608378492,3587700,13488800,17076500.0,2152620.0,8093280.0,10245900.0,514627.36483161413,287931.0085129526,,,,,,,C
10,C4,58,3.0190504654247996,138000,1386900,1524900.0,82800.0,832140.0,914940.0,574247.7463986012,303055.5502394565,,,,,,,C
11,C5,57,2.5603974748888003,166300,887500,1053800.0,99780.0,532500.0,632280.0,449274.9651680737,246946.03326284734,,,,,,,C
12,C6,169,41.78412168429787,1499300,8727500,10226800.0,899580.0,5236500.0,6136080.0,302775.4600903669,146851.95602199025,,,,,,,C
13,C7,202,45.8900758355773,3680100,12114800,15794900.0,2208060.0,7268880.0,9476940.0,411128.8672797972,206513.9319872902,,,,,,,C
14,C8,661,102.62169073669358,14735500,44099100,58834600.0,8841300.0,26459460.0,35300760.0,744832.4803562919,343989.26529650134,,,,,,,C
15,C9,834,115.72186389195105,14804400,59573200,74792600.0,8882640.0,35743920.0,44875560.0,778445.044249529,387788.0850752637,,,,,,,C
16,D1,134,15.809353214603101,631200,2279100,2910300.0,378720.0,1367460.0,1746180.0,229475.5577278871,110452.33642999723,,,,,,,D
17,D2,94,14.0696575685357,1231000,3520400,4751400.0,738600.0,2112240.0,2850840.0,413239.7652731352,202623.26827167417,,,,,,,D
18,D3,73,8.741389209492679,409300,1683500,2092800.0,245580.0,1010100.0,1255680.0,306523.46661569056,143647.64797755476,,,,,,,D
19,D4,977,86.9034020846938,2172100,8946000,11118100.0,1303260.0,5367600.0,6670860.0,192089.4629299256,76761.78193229712,,,,,,,D
20,D5,603,51.931526317959495,4534800,12075500,16610300.0,2720880.0,7245300.0,9966180.0,345430.7839495414,191910.0151029721,,,,,,,D
21,D6,894,60.42570382996136,4746300,16220300,20966600.0,2847780.0,9732180.0,12579960.0,394622.8160291796,208188.88656059606,,,,,,,D
22,D7,128,28.33232906231358,1312600,5317900,6630500.0,787560.0,3190740.0,3978300.0,410597.3062201554,140415.56524527876,,,,,,,D
23,D8,58,10.098301395243102,519800,2167100,2686900.0,311880.0,1300260.0,1612140.0,393049.17819725303,159644.6706135562,,,,,,,D
